pn_id,vol_raw_usd,vol_norm,lot_count,breadth_norm,line_count,avg_line_usd,ticket_norm,cat_liq_norm,pn_liquidity,flags
U2417H,66.000000,0.000000,1,0.100000,1,66.000000,0.060287,0.300000,0.099043,CAT_UNKNOWN_HEAVY
50139625001FRE,105.680000,0.000000,1,0.100000,1,105.680000,0.162511,0.220000,0.098377,
H103500,64.590000,0.000000,1,0.100000,1,64.590000,0.055598,0.300000,0.098340,CAT_UNKNOWN_HEAVY
22051TLE73IV,64.270000,0.000000,1,0.100000,1,64.270000,0.054519,0.300000,0.098178,CAT_UNKNOWN_HEAVY
ST7800A1088U,64.240000,0.000000,1,0.100000,1,64.240000,0.054418,0.300000,0.098163,CAT_UNKNOWN_HEAVY
747DAT11,63.070000,0.000000,1,0.100000,1,63.070000,0.050426,0.300000,0.097564,CAT_UNKNOWN_HEAVY
NCL101,62.940000,0.000000,1,0.100000,1,62.940000,0.049978,0.300000,0.097497,CAT_UNKNOWN_HEAVY
50147633001FRE,62.860000,0.000000,1,0.100000,1,62.860000,0.049702,0.300000,0.097455,CAT_UNKNOWN_HEAVY
LL303301106,102.480000,0.000000,1,0.100000,1,102.480000,0.155835,0.220000,0.097375,
VM1052CABLE,62.440000,0.000000,1,0.100000,1,62.440000,0.048246,0.300000,0.097237,CAT_UNKNOWN_HEAVY
HM501BM,61.810000,0.000000,1,0.100000,1,61.810000,0.046044,0.300000,0.096907,CAT_UNKNOWN_HEAVY
MK514571A38EU,61.780000,0.000000,1,0.100000,1,61.780000,0.045939,0.300000,0.096891,CAT_UNKNOWN_HEAVY
CF274A,61.640000,0.000000,1,0.100000,1,61.640000,0.045446,0.300000,0.096817,CAT_UNKNOWN_HEAVY
PS051000WC,61.600000,0.000000,1,0.100000,1,61.600000,0.045305,0.300000,0.096796,CAT_UNKNOWN_HEAVY
5130071401FRE,61.580000,0.000000,1,0.100000,1,61.580000,0.045235,0.300000,0.096785,CAT_UNKNOWN_HEAVY
5712411301FRE,61.580000,0.000000,1,0.100000,1,61.580000,0.045235,0.300000,0.096785,CAT_UNKNOWN_HEAVY
115441L3,61.400000,0.000000,1,0.100000,1,61.400000,0.044599,0.300000,0.096690,CAT_UNKNOWN_HEAVY
NAJ0801,61.330000,0.000000,1,0.100000,1,61.330000,0.044351,0.300000,0.096653,CAT_UNKNOWN_HEAVY
3D93358H01,61.033331,0.000000,1,0.100000,1,61.033331,0.043299,0.300000,0.096495,CAT_UNKNOWN_HEAVY
36026RU,60.960000,0.000000,1,0.100000,1,60.960000,0.043037,0.300000,0.096456,CAT_UNKNOWN_HEAVY
DPR78276401,60.810000,0.000000,1,0.100000,1,60.810000,0.042502,0.300000,0.096375,CAT_UNKNOWN_HEAVY
819385001FRE,60.720000,0.000000,1,0.100000,1,60.720000,0.042181,0.300000,0.096327,CAT_UNKNOWN_HEAVY
50141919001FRE,77.380000,0.000000,1,0.100000,1,77.380000,0.094829,0.260000,0.096224,
FSS2725,60.520000,0.000000,1,0.100000,1,60.520000,0.041464,0.300000,0.096220,CAT_UNKNOWN_HEAVY
FPC5,197.528100,0.000000,1,0.100000,2,98.764050,0.147814,0.220000,0.096172,
BSSDRN64,60.220000,0.000000,1,0.100000,1,60.220000,0.040385,0.300000,0.096058,CAT_UNKNOWN_HEAVY
ROL78286701,59.930000,0.000000,1,0.100000,1,59.930000,0.039337,0.300000,0.095901,CAT_UNKNOWN_HEAVY
HC6000,59.920000,0.000000,1,0.100000,1,59.920000,0.039301,0.300000,0.095895,CAT_UNKNOWN_HEAVY
PC42T,97.332558,0.000000,1,0.100000,1,97.332558,0.144644,0.220000,0.095697,
280755000FRE,59.290000,0.000000,1,0.100000,1,59.290000,0.037006,0.300000,0.095551,CAT_UNKNOWN_HEAVY
R210A510X0,58.930000,0.000000,1,0.100000,1,58.930000,0.035683,0.300000,0.095352,CAT_UNKNOWN_HEAVY
R215611002,58.930000,0.000000,1,0.100000,1,58.930000,0.035683,0.300000,0.095352,CAT_UNKNOWN_HEAVY
R215616800,58.930000,0.000000,1,0.100000,1,58.930000,0.035683,0.300000,0.095352,CAT_UNKNOWN_HEAVY
P2412HB,175.250000,0.000000,1,0.100000,3,58.416667,0.033783,0.300000,0.095068,CAT_UNKNOWN_HEAVY
3047170RU,58.240000,0.000000,1,0.100000,1,58.240000,0.033126,0.300000,0.094969,CAT_UNKNOWN_HEAVY
50146174001FRE,58.110000,0.000000,1,0.100000,1,58.110000,0.032640,0.300000,0.094896,CAT_UNKNOWN_HEAVY
FCD262LCPR30M,57.620000,0.000000,1,0.100000,1,57.620000,0.030802,0.300000,0.094620,CAT_UNKNOWN_HEAVY
MVC80AC2,57.270000,0.000000,1,0.100000,1,57.270000,0.029479,0.300000,0.094422,CAT_UNKNOWN_HEAVY
M4AB000SFS01,56.750000,0.000000,1,0.100000,1,56.750000,0.027498,0.300000,0.094125,CAT_UNKNOWN_HEAVY
C072,56.370000,0.000000,1,0.100000,1,56.370000,0.026039,0.300000,0.093906,CAT_UNKNOWN_HEAVY
L002133000,56.350000,0.000000,1,0.100000,1,56.350000,0.025962,0.300000,0.093894,CAT_UNKNOWN_HEAVY
TA40,392.241510,0.000000,1,0.100000,7,56.034501,0.024743,0.300000,0.093711,CAT_UNKNOWN_HEAVY
