part_number,raw_photo_path,raw_width,raw_height,min_dimension,bucket,enhanced_photo_path,enhanced_generated,photo_ready_for_future_cloud,next_action
MB3480,D:\BIRETOS\projects\biretos-automation\downloads\photos\MB3480.jpg,450,450,450,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\MB3480__catalog_placeholder_v1__6968dd48.jpg,True,True,keep_enhanced
MCP-PRO-M,D:\BIRETOS\projects\biretos-automation\downloads\photos\MCP-PRO-M.jpg,529,580,529,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\MCP-PRO-M__catalog_placeholder_v1__bb53aa3a.jpg,True,True,keep_enhanced
ML6420A3072,D:\BIRETOS\projects\biretos-automation\downloads\photos\ML6420A3072.jpg,680,680,680,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\ML6420A3072__catalog_placeholder_v1__4899f3d7.jpg,True,True,keep_enhanced
ML6421A3005,D:\BIRETOS\projects\biretos-automation\downloads\photos\ML6421A3005.jpg,591,839,591,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\ML6421A3005__catalog_placeholder_v1__24ddb13f.jpg,True,True,keep_enhanced
ML6421A3013,D:\BIRETOS\projects\biretos-automation\downloads\photos\ML6421A3013.jpg,680,680,680,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\ML6421A3013__catalog_placeholder_v1__1ff94dd8.jpg,True,True,keep_enhanced
ML6425A3014,D:\BIRETOS\projects\biretos-automation\downloads\photos\ML6425A3014.jpg,750,750,750,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\ML6425A3014__catalog_placeholder_v1__cc323d9c.jpg,True,True,keep_enhanced
MZ-PCWS77,D:\BIRETOS\projects\biretos-automation\downloads\photos\MZ-PCWS77.jpg,300,300,300,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\MZ-PCWS77__catalog_placeholder_v1__e299623b.jpg,True,False,upscale_then_review
MZ-PCWS84,D:\BIRETOS\projects\biretos-automation\downloads\photos\MZ-PCWS84.jpg,800,800,800,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\MZ-PCWS84__catalog_placeholder_v1__2ad89936.jpg,True,True,keep_enhanced
N05010,D:\BIRETOS\projects\biretos-automation\downloads\photos\N05010.jpg,196,274,196,tiny_quarantine,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\N05010__catalog_placeholder_v1__89d39abd.jpg,True,False,re_search_required
N05230-2POS,D:\BIRETOS\projects\biretos-automation\downloads\photos\N05230-2POS.jpg,534,400,400,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\N05230-2POS__catalog_placeholder_v1__c10583bc.jpg,True,True,keep_enhanced
N0524,D:\BIRETOS\projects\biretos-automation\downloads\photos\N0524.jpg,534,400,400,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\N0524__catalog_placeholder_v1__2fa161b8.jpg,True,True,keep_enhanced
N0524-SW2,D:\BIRETOS\projects\biretos-automation\downloads\photos\N0524-SW2.jpg,534,400,400,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\N0524-SW2__catalog_placeholder_v1__2fa161b8.jpg,True,True,keep_enhanced
N10010,D:\BIRETOS\projects\biretos-automation\downloads\photos\N10010.jpg,534,400,400,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\N10010__catalog_placeholder_v1__c5fd7ab6.jpg,True,True,keep_enhanced
N34230,D:\BIRETOS\projects\biretos-automation\downloads\photos\N34230.jpg,500,500,500,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\N34230__catalog_placeholder_v1__238de475.jpg,True,True,keep_enhanced
