pn_id,vol_raw_usd,vol_norm,lot_count,breadth_norm,line_count,avg_line_usd,ticket_norm,cat_liq_norm,pn_liquidity,flags
HLS2VP,2652.564103,0.260855,1,0.100000,3,884.188034,0.623787,0.300000,0.274868,CAT_UNKNOWN_HEAVY
7980GEL2USBC0,1606.038462,0.182418,2,0.200000,2,803.019231,0.602878,0.300000,0.274278,CAT_UNKNOWN_HEAVY
KB216,455.226244,0.000000,7,0.700000,8,56.903281,0.028084,0.300000,0.274213,
S7800A1001U,2621.730769,0.259028,1,0.100000,3,873.910256,0.621248,0.300000,0.273847,CAT_UNKNOWN_HEAVY
XV7014,1734.769231,0.194472,1,0.100000,1,1734.769231,0.770136,0.300000,0.273585,CAT_UNKNOWN_HEAVY
50148414002FRE,758.320513,0.065109,1,0.100000,1,758.320513,0.590441,0.660000,0.273354,
DCTAIL51,1308.717949,0.150415,3,0.300000,3,436.239316,0.470377,0.300000,0.273202,CAT_UNKNOWN_HEAVY
C030901000,755.666667,0.064561,1,0.100000,1,755.666667,0.589680,0.660000,0.273048,
747DAM25,1715.282051,0.192706,1,0.100000,1,1715.282051,0.767683,0.300000,0.272599,CAT_UNKNOWN_HEAVY
001FRE,1706.955407,0.191945,1,0.100000,1,1706.955407,0.766626,0.300000,0.272175,CAT_UNKNOWN_HEAVY
BZE7S2RNPG,2046.923077,0.220338,1,0.100000,1,2046.923077,0.806066,0.220000,0.272028,
ABP2MRRT015PDSA3XX,1687.692308,0.190171,1,0.100000,1,1687.692308,0.764162,0.300000,0.271184,CAT_UNKNOWN_HEAVY
LV434002,1687.564103,0.190159,1,0.100000,1,1687.564103,0.764145,0.300000,0.271177,CAT_UNKNOWN_HEAVY
STD730,1677.205128,0.189196,1,0.100000,1,1677.205128,0.762808,0.300000,0.270640,CAT_UNKNOWN_HEAVY
S20242POSSW2,1270.320513,0.145760,3,0.300000,3,423.440171,0.463911,0.300000,0.270603,
CLEA2000B31,841.410256,0.081363,1,0.100000,1,841.410256,0.613019,0.600000,0.270430,
ABP2DDAN005NDSA3XX,1672.961538,0.188800,1,0.100000,1,1672.961538,0.762258,0.300000,0.270419,CAT_UNKNOWN_HEAVY
I20103,1672.089744,0.188719,1,0.100000,1,1672.089744,0.762145,0.300000,0.270373,CAT_UNKNOWN_HEAVY
EDA51KE2R,1669.393405,0.188467,1,0.100000,1,1669.393405,0.761794,0.300000,0.270232,CAT_UNKNOWN_HEAVY
HB34S2CM,1497.525641,0.171482,2,0.200000,2,748.762821,0.587687,0.300000,0.268172,CAT_UNKNOWN_HEAVY
R2106568X2,1741.807692,0.195105,2,0.200000,3,580.602564,0.532454,0.300000,0.268155,CAT_UNKNOWN_HEAVY
V5013R1040,648.461538,0.040644,1,0.100000,1,648.461538,0.556457,0.700000,0.267694,
